Gender,Branch,CGPA,Backlogs,SSC_Marks,HSC_Marks,Internships,Projects,Workshops/Certifications,TechnicalSkillScore,CodingPlatformScore,GitHubScore,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,InterviewRoundsCleared,CompanyTier,PlacementStatus,HasPortfolio,WillingToRelocate,PreferredRoleCategory,ExpectedCTC
0,3,6.5,0,67,70,0,1,0,20.0,25.1,2.5,73.0,3.6,0,0,0,0,0,0,2,7,3.2
0,6,6.6,0,60,75,1,3,0,34.4,22.1,6.8,79.2,3.6,1,0,0,0,0,1,0,2,3.4
1,2,7.4,0,68,73,1,1,0,36.8,36.5,2.7,85.0,3.5,0,0,0,0,0,0,1,8,4.4
1,5,6.5,2,75,68,1,2,0,26.6,19.6,5.6,61.0,4.5,0,0,0,0,0,0,0,7,3.4
1,2,7.7,0,69,85,0,2,1,38.5,26.8,6.0,81.0,4.1,1,1,0,0,0,1,2,6,5.8
0,0,8.3,0,73,88,1,3,0,63.0,55.9,7.6,76.0,4.3,1,1,0,0,0,1,1,6,7.1
1,8,7.3,0,58,73,1,1,1,33.4,24.6,2.7,79.0,3.8,0,1,0,1,0,0,1,8,3.7
1,3,7.6,0,55,63,1,1,0,37.6,47.3,3.1,66.0,3.2,0,0,0,0,0,1,2,4,7.0
0,2,6.7,0,55,68,1,2,1,20.0,23.5,3.7,64.0,3.1,0,1,0,0,0,0,1,8,2.3
0,0,7.0,1,55,70,1,1,0,20.0,25.4,1.1,81.0,3.6,0,1,0,0,0,0,1,2,2.0
0,3,8.1,0,85,84,2,3,2,59.0,37.1,4.6,90.0,4.8,1,1,2,3,1,0,2,8,6.6
0,5,6.5,0,58,68,1,3,1,20.1,19.8,7.2,70.0,4.2,0,1,0,0,0,0,0,8,2.0
1,7,8.5,0,74,83,0,1,0,43.3,37.3,3.7,89.1,4.7,1,1,4,1,1,1,2,0,6.3
0,5,8.6,0,81,87,1,3,1,67.3,60.7,7.4,83.0,4.7,1,1,2,2,1,0,2,2,8.2
0,10,7.3,2,55,74,1,2,1,41.8,47.4,4.3,64.5,4.4,0,0,0,0,0,0,2,2,4.9
1,3,6.7,0,64,61,1,1,1,20.0,21.8,1.0,65.0,4.0,0,1,0,0,0,0,2,3,2.0
1,0,7.6,0,55,65,0,1,0,33.3,27.6,1.2,83.0,3.2,0,0,0,0,0,0,1,5,4.1
1,6,8.4,0,74,82,2,2,2,72.1,56.8,8.2,90.0,4.6,1,1,0,0,0,1,1,2,6.1
1,8,6.6,2,58,72,2,0,0,20.0,22.8,1.8,68.2,4.6,0,0,0,0,0,0,0,1,2.2
1,2,8.3,0,71,81,2,3,2,73.3,64.0,6.6,90.0,4.2,1,1,1,3,1,1,2,7,8.8
0,7,7.9,0,59,85,0,3,1,51.3,52.6,3.5,83.1,3.6,0,0,0,0,0,1,0,7,7.9
1,2,7.6,0,65,68,1,2,2,28.0,20.9,2.9,75.0,4.7,0,1,0,0,0,0,2,6,6.5
1,7,7.7,0,88,84,0,3,2,48.1,46.2,4.9,75.5,4.5,1,1,0,0,0,0,0,0,6.1
1,1,7.7,0,66,66,1,2,0,39.1,28.7,2.1,78.0,3.8,0,1,0,0,0,0,0,8,5.5
1,9,7.6,2,71,69,1,2,2,38.9,28.6,4.8,82.7,3.9,1,1,4,2,1,0,0,0,4.1
1,8,7.6,0,90,84,0,3,3,46.7,38.1,5.7,73.8,4.0,1,1,0,1,0,1,1,8,6.0
1,0,6.5,2,58,65,1,2,0,20.0,21.1,4.1,68.0,3.7,0,1,0,0,0,0,0,5,2.0
1,0,6.5,1,55,71,0,1,1,20.0,23.2,2.0,82.0,4.5,0,0,0,0,0,0,0,0,2.0
1,7,8.5,0,77,77,1,3,2,77.3,58.6,6.5,78.1,4.1,1,1,2,2,1,1,0,4,9.7
1,8,7.9,0,77,60,2,3,2,58.9,48.4,6.0,89.3,4.7,1,0,3,1,1,0,1,9,6.8
1,3,7.6,1,62,83,2,2,0,46.3,40.4,3.6,74.0,4.0,0,1,4,1,1,0,2,8,4.7
1,8,8.2,0,83,78,2,3,1,64.4,43.7,6.2,89.6,4.7,1,1,1,3,1,1,1,1,7.5
1,3,8.3,0,77,85,0,3,2,59.5,50.5,7.6,90.0,4.3,1,1,2,2,1,0,1,8,6.7
1,8,6.8,1,62,67,2,1,0,20.0,18.4,0.3,75.0,3.8,0,1,1,1,0,0,0,7,2.6
1,5,8.3,1,72,84,2,3,2,64.2,37.8,7.7,90.0,4.8,1,1,0,0,0,1,0,8,7.7
0,2,7.7,0,73,67,1,3,0,52.2,53.9,6.3,74.0,4.7,0,1,1,3,1,1,1,2,5.9
1,4,7.9,1,63,70,2,1,0,50.2,43.5,3.0,83.0,4.0,1,1,0,0,0,1,0,6,7.5
1,4,7.8,1,82,79,2,3,2,50.7,53.6,6.8,90.0,4.8,1,0,1,3,1,1,0,5,6.3
1,0,6.6,1,58,68,0,1,0,20.0,23.9,3.6,73.0,4.3,1,1,0,0,0,0,0,0,3.6
1,0,6.5,0,68,73,2,2,1,25.9,19.8,4.6,88.0,3.9,0,1,0,0,0,1,1,7,2.5
1,2,7.5,0,71,63,2,1,0,31.4,40.9,1.2,82.0,4.3,0,1,0,0,0,0,2,9,5.4
1,3,6.9,0,59,70,1,3,1,48.2,38.4,6.4,78.0,4.5,1,1,2,3,1,0,0,2,3.5
1,1,8.2,0,85,80,2,3,2,67.8,54.1,8.3,90.0,4.8,1,1,2,3,1,1,2,8,7.1
1,0,7.8,0,90,78,2,3,2,61.2,32.4,7.5,90.0,4.8,1,1,2,2,1,1,1,5,5.1
0,6,7.6,2,55,71,2,0,2,32.8,25.4,1.8,80.0,4.3,0,1,1,0,0,0,2,9,5.6
0,9,7.8,2,57,82,2,2,1,38.1,43.7,5.9,80.2,4.2,1,1,0,0,0,1,0,3,6.5
1,0,7.0,1,74,65,1,1,0,24.6,37.1,1.1,72.0,4.4,0,1,0,0,0,0,2,0,4.3
0,7,6.5,1,61,69,2,1,1,32.9,38.3,2.3,84.1,4.8,0,0,0,0,0,0,2,4,3.0
0,6,7.6,1,55,66,2,0,0,32.9,29.0,2.6,79.1,4.0,0,1,1,0,0,0,2,2,4.4
0,11,8.0,0,83,81,0,2,1,58.4,51.1,5.3,72.5,4.3,1,1,0,1,0,0,2,8,7.5
1,10,7.5,0,60,71,0,1,2,33.7,33.0,1.4,79.0,4.4,0,1,1,0,0,0,0,8,5.6
0,2,6.5,0,70,65,0,1,1,20.0,31.2,2.2,70.0,4.2,0,0,0,0,0,0,2,8,2.9
1,0,8.2,0,69,67,0,1,2,47.5,30.9,4.2,81.0,4.2,1,1,0,0,0,1,2,5,6.2
1,1,8.0,2,55,65,0,1,1,37.5,43.1,1.5,76.0,3.6,0,0,0,0,0,1,0,3,6.7
0,8,7.0,0,62,57,1,2,2,20.0,20.1,2.8,73.6,4.3,1,1,0,1,0,1,0,9,3.6
1,11,7.3,1,83,81,1,2,1,36.6,32.2,3.8,79.3,3.8,0,1,0,0,0,0,2,6,5.5
1,2,8.0,0,83,71,0,3,0,57.6,54.9,5.0,76.0,3.6,1,1,0,0,0,1,0,7,6.9
0,8,6.7,0,66,68,0,0,2,20.0,17.3,2.1,78.0,4.3,0,0,0,1,0,0,2,9,2.8
1,2,8.2,0,76,88,0,3,2,62.7,55.7,7.1,90.0,4.7,1,1,4,1,1,1,1,8,6.7
1,8,7.4,1,67,68,0,1,2,29.7,38.4,4.5,76.7,4.7,0,1,1,0,0,1,2,0,5.3
0,3,8.0,0,77,82,2,3,2,59.7,36.5,4.8,90.0,4.8,1,1,3,1,1,0,0,8,6.3
1,10,7.4,1,58,59,1,1,1,22.4,20.3,1.6,67.7,3.8,0,1,0,0,0,0,2,7,3.2
1,5,7.9,0,76,80,1,2,0,52.9,41.8,4.8,90.0,4.8,1,1,3,2,1,1,1,8,5.1
1,4,7.5,0,77,84,1,2,1,43.9,32.1,5.9,74.0,3.8,1,1,0,0,0,1,2,4,5.2
1,2,6.5,1,87,67,2,3,0,30.5,29.2,5.8,77.0,4.3,0,1,0,0,0,0,0,0,3.7
1,2,6.6,0,80,66,0,1,1,20.0,13.8,1.5,72.0,3.5,0,1,0,0,0,0,0,8,3.7
1,7,8.0,0,84,84,2,3,2,65.4,58.2,6.7,90.0,4.8,1,1,4,2,1,1,1,6,8.1
1,3,8.3,0,73,84,2,3,2,56.0,57.7,7.5,90.0,4.8,1,1,3,2,1,1,0,3,7.7
0,4,6.9,0,62,62,0,1,0,20.0,15.2,2.1,73.0,3.0,0,0,0,0,0,0,2,4,3.5
1,0,7.4,0,61,63,1,1,3,29.6,29.3,2.0,74.0,4.1,0,1,0,0,0,0,0,1,5.1
0,6,8.5,0,66,70,1,2,3,68.6,64.8,4.4,78.2,4.5,1,1,4,2,1,0,1,7,7.9
1,5,8.5,0,75,86,1,3,2,63.9,59.9,6.3,90.0,4.8,1,1,0,0,0,1,2,8,8.4
0,3,6.7,0,55,84,2,2,1,27.7,34.1,5.8,76.0,3.9,1,1,3,2,1,0,1,7,3.1
1,0,7.6,1,80,80,2,3,2,54.6,40.0,7.6,82.0,4.8,1,1,2,2,1,0,1,0,6.3
0,0,8.5,0,70,62,1,1,1,57.1,39.0,2.0,81.0,4.5,1,1,0,0,0,0,1,1,7.2
0,10,7.8,0,77,86,2,3,2,56.1,43.4,8.3,87.2,4.8,1,1,1,3,1,1,1,8,5.3
0,0,8.3,0,85,83,2,3,2,69.4,53.0,7.9,90.0,4.8,1,0,3,2,1,1,2,5,7.8
1,9,7.4,1,61,83,1,1,1,38.8,33.2,2.2,75.4,4.7,1,1,0,3,1,1,1,8,4.6
1,7,7.5,0,55,70,0,2,2,39.0,39.1,3.0,73.2,4.4,0,1,1,0,0,0,1,1,7.3
1,5,8.2,0,73,87,0,3,2,52.0,32.8,7.5,87.0,4.8,1,1,2,2,1,1,1,6,6.1
0,2,7.5,0,61,70,1,3,2,48.6,39.0,6.1,89.0,4.8,1,1,0,0,0,1,2,6,6.1
0,3,7.5,0,57,69,1,2,0,42.4,36.1,5.7,80.0,3.6,0,0,0,0,0,1,1,8,5.4
1,6,8.6,0,85,84,2,2,2,80.0,68.8,7.6,90.0,4.6,1,1,3,2,1,1,2,2,8.7
1,1,8.5,0,59,82,0,2,2,58.0,47.6,6.9,85.0,4.1,1,1,4,1,1,1,1,8,6.8
0,9,6.6,0,65,67,0,1,0,20.0,21.5,2.0,68.2,3.8,0,0,0,0,0,0,1,7,2.3
1,3,7.3,0,73,74,0,3,0,40.9,42.4,7.1,83.0,4.3,1,0,0,0,0,0,2,1,5.8
1,5,6.6,0,55,64,0,1,0,20.0,38.6,2.8,79.0,4.4,0,1,0,0,0,0,0,8,3.5
0,0,8.5,0,70,86,0,3,2,58.8,61.6,7.1,90.0,4.7,1,1,3,1,1,1,1,2,8.0
0,2,7.4,0,59,73,1,3,0,47.7,42.8,6.0,88.0,4.1,1,1,0,0,0,0,0,8,5.3
0,2,8.3,0,84,87,2,3,3,73.8,55.7,6.9,88.0,4.8,1,1,2,2,1,1,2,8,7.8
0,6,8.1,0,69,64,0,3,1,58.6,47.4,7.6,79.2,3.9,1,0,0,1,0,1,1,2,7.1
0,9,7.3,0,60,67,0,1,0,23.5,18.2,4.1,69.8,3.7,1,1,0,0,0,1,1,1,2.9
1,1,7.7,0,76,80,1,3,2,56.5,36.1,5.9,70.0,3.8,1,1,0,0,0,1,0,8,5.4
1,2,8.5,0,86,70,0,3,3,70.5,52.0,6.0,84.0,4.6,0,1,0,0,0,1,2,6,8.3
1,2,7.7,1,56,68,0,1,1,28.3,22.7,2.3,77.0,3.3,0,0,0,0,0,0,1,8,5.0
1,7,6.6,0,61,64,2,3,0,40.0,32.6,5.3,88.0,4.4,0,0,0,1,0,1,0,7,3.3
1,4,7.7,0,55,74,1,2,0,42.8,38.0,3.8,74.0,4.7,0,1,1,3,1,1,0,7,6.1
1,5,6.5,0,55,71,1,3,2,26.2,25.8,6.5,84.0,4.6,0,1,1,3,1,1,1,8,2.8
0,7,6.5,1,61,65,0,0,2,22.7,13.9,1.5,70.5,4.1,0,0,0,0,0,0,0,4,2.0
1,5,8.6,0,85,82,2,3,2,76.6,66.2,7.1,90.0,4.8,1,1,4,1,1,1,2,7,9.3
1,5,7.7,0,78,84,0,3,2,56.1,36.5,6.5,86.0,4.7,1,1,2,2,1,0,2,6,8.0
0,3,8.2,0,78,83,2,2,2,64.9,48.8,5.8,81.0,4.8,1,1,2,2,1,1,0,1,6.3
1,11,6.8,0,77,68,2,2,0,23.5,17.8,3.4,68.0,4.5,0,1,0,0,0,0,1,7,2.9
1,0,7.6,0,64,71,2,1,1,45.7,41.2,2.8,66.0,3.7,0,0,0,0,0,0,0,4,7.7
1,4,7.4,0,58,70,1,3,2,37.5,28.6,6.4,70.0,4.4,0,0,0,0,0,1,0,0,4.9
1,2,7.7,2,70,86,2,2,2,50.6,38.5,6.0,90.0,4.7,1,1,2,2,1,0,1,8,6.2
1,0,8.5,0,59,83,1,1,1,55.9,41.4,4.0,71.0,4.0,1,1,0,0,0,0,0,0,8.0
0,10,7.0,1,64,64,0,2,0,21.7,12.4,1.4,68.4,3.3,0,0,0,1,0,0,2,8,2.2
0,10,7.5,1,63,61,1,2,0,38.9,19.7,4.6,75.9,3.6,0,1,0,0,0,1,1,1,3.3
1,4,7.8,0,55,74,0,1,1,21.5,14.5,2.6,71.0,3.9,0,0,0,0,0,0,0,5,4.8
1,3,6.5,1,58,67,0,1,0,20.0,20.5,2.5,76.0,4.0,0,0,0,0,0,0,2,9,3.4
1,2,7.7,0,79,88,2,3,2,59.0,54.3,6.4,90.0,4.7,1,1,3,2,1,0,1,0,6.2
1,1,8.3,0,69,87,1,3,2,65.0,52.5,5.3,83.0,4.6,1,0,1,3,1,1,0,8,8.2
1,5,8.2,0,65,82,1,3,1,56.1,44.8,6.4,86.0,4.5,0,1,2,3,1,1,1,8,6.7
1,2,7.8,0,55,70,1,1,0,40.2,26.8,2.4,79.0,4.0,0,1,0,0,0,0,2,8,4.7
0,8,7.5,1,58,70,1,1,3,26.2,31.4,4.4,68.7,3.7,1,1,0,0,0,0,1,8,4.9
0,0,6.5,1,62,68,1,2,0,23.4,21.7,4.6,76.0,3.8,0,1,0,0,0,0,1,0,3.7
0,0,7.8,0,83,76,0,3,2,49.8,42.4,5.7,77.0,4.2,1,1,0,0,0,1,1,1,6.8
1,3,8.5,0,82,87,2,3,2,72.1,49.9,6.4,88.0,4.8,1,1,2,3,1,1,1,2,8.2
1,2,7.6,0,61,67,0,1,2,30.1,12.2,1.3,71.0,3.9,0,1,0,0,0,0,0,6,2.8
1,5,6.5,0,76,67,2,1,1,20.0,19.6,2.4,83.0,3.6,1,1,0,0,0,0,1,8,3.3
1,4,8.0,0,79,80,2,3,1,68.1,49.5,6.0,78.0,4.5,1,1,2,2,1,1,2,4,6.6
0,2,7.6,0,62,72,1,1,0,32.1,18.3,1.8,68.0,4.0,0,0,0,0,0,0,2,8,4.1
1,1,7.4,0,55,69,0,1,1,21.4,15.1,1.2,82.0,4.5,0,1,0,0,0,1,0,8,4.7
1,9,7.5,0,65,67,2,3,0,53.3,34.9,5.4,70.9,4.2,0,1,0,1,0,0,1,8,6.2
0,5,7.5,2,56,63,1,1,1,29.1,35.7,3.0,83.0,4.4,0,1,0,0,0,0,0,7,4.8
0,9,7.3,0,67,65,2,0,0,31.1,27.7,3.2,74.5,4.5,0,0,0,0,0,0,1,9,5.0
1,3,7.3,0,68,71,1,2,1,38.5,45.2,3.2,83.0,3.2,0,1,0,0,0,0,1,6,5.6
0,3,8.0,0,84,85,1,3,2,68.2,55.1,7.2,86.0,4.8,1,0,3,2,1,0,1,7,8.4
1,1,6.5,1,56,64,1,1,0,20.0,28.4,3.2,67.0,3.8,0,0,0,0,0,1,2,8,2.5
1,3,6.8,2,79,86,2,3,2,47.8,41.0,6.8,86.0,4.5,1,1,0,0,0,0,1,0,5.6
1,5,6.5,0,68,66,0,3,1,27.7,23.1,8.0,70.0,3.3,1,1,1,3,1,1,1,8,3.4
1,2,7.5,0,75,82,1,3,0,53.5,48.7,6.2,78.0,4.5,1,1,0,0,0,1,2,8,6.3
1,4,7.6,0,67,61,1,2,0,40.0,47.6,4.6,73.0,3.7,0,1,0,0,0,0,1,6,7.0
1,2,7.9,0,55,69,2,2,0,53.5,38.7,5.2,71.0,4.4,1,0,0,0,0,1,2,1,7.3
1,3,7.6,0,62,69,0,1,0,39.7,26.8,2.6,88.0,4.7,1,1,2,2,1,0,2,3,4.2
1,0,8.3,0,85,82,2,3,2,69.1,59.1,8.7,90.0,4.8,1,1,3,2,1,1,1,3,9.2
1,2,8.5,0,73,88,2,3,2,70.0,47.9,5.7,90.0,4.8,1,1,2,2,1,1,1,0,7.6
1,4,8.4,0,78,83,2,3,2,72.2,57.4,6.9,90.0,4.7,1,1,3,2,1,0,1,1,7.6
0,7,7.7,1,73,83,2,3,1,62.2,59.5,6.6,82.8,4.8,1,1,3,2,1,1,2,2,5.8
1,0,7.6,0,74,87,2,3,0,57.8,37.0,7.9,78.0,4.8,1,1,1,3,1,1,0,7,5.7
1,7,7.8,1,81,83,1,3,3,50.4,28.4,3.9,80.3,4.3,0,0,0,0,0,1,2,0,4.6
1,9,7.5,2,55,68,1,1,1,39.3,37.5,5.4,62.0,3.4,0,1,0,0,0,0,1,7,5.8
1,2,8.5,0,74,88,2,3,0,77.8,48.7,8.0,90.0,4.8,1,0,2,2,1,1,2,2,7.4
1,2,6.7,2,55,62,1,1,1,20.5,18.0,2.1,65.0,3.8,0,0,0,0,0,1,1,8,2.3
0,10,8.3,0,84,85,2,3,3,67.0,64.9,6.7,90.0,4.8,1,1,3,2,1,1,2,8,8.7
1,0,7.8,0,62,67,1,1,0,41.4,36.8,3.4,66.0,3.7,1,1,2,2,1,0,0,5,5.9
0,7,7.9,1,76,86,1,2,1,44.9,43.6,3.5,72.5,4.7,1,1,3,1,1,0,1,8,5.2
0,4,8.5,0,85,82,2,3,2,79.0,55.2,4.8,84.0,4.6,1,1,2,3,1,0,2,4,9.0
1,11,7.1,1,79,72,0,2,1,36.2,45.9,4.4,73.2,3.9,0,1,3,1,1,0,1,7,5.4
1,0,8.1,0,88,87,2,3,2,64.4,44.5,6.9,90.0,4.8,1,1,3,2,1,0,1,0,6.5
0,0,8.3,0,73,74,0,3,0,52.2,42.2,4.5,88.0,4.7,1,1,3,1,1,0,2,0,6.5
1,0,7.5,0,55,75,1,2,1,41.2,32.1,5.0,76.0,3.8,0,1,0,0,0,1,2,1,3.9
1,0,8.2,2,76,84,1,3,0,74.6,47.9,6.7,82.0,4.7,1,1,0,0,0,0,0,7,7.3
1,4,8.6,0,77,86,2,3,2,73.0,59.9,6.2,86.0,4.3,1,1,4,1,1,1,1,0,8.3
1,10,7.6,0,83,69,2,1,3,34.8,31.9,1.2,77.5,4.0,0,1,0,0,0,0,0,2,4.5
1,2,7.5,0,81,62,1,3,1,50.0,28.7,5.5,84.0,4.6,0,0,0,0,0,1,0,8,4.5
1,2,7.6,2,61,69,0,1,0,33.1,27.6,4.0,66.0,4.0,0,0,0,0,0,0,1,8,4.0
1,11,7.3,0,55,68,0,0,0,35.2,32.7,1.9,87.6,4.1,0,0,0,0,0,0,0,2,7.4
1,3,6.5,0,56,68,1,1,1,20.0,17.8,2.2,79.0,4.6,1,1,0,0,0,0,1,8,2.0
0,6,7.4,1,58,82,0,2,3,40.3,39.9,6.3,85.6,4.7,1,1,1,3,1,1,1,1,4.3
1,7,8.2,0,62,68,0,3,1,48.4,41.8,4.9,71.1,4.3,1,1,2,2,1,1,2,4,6.5
1,3,7.9,0,79,66,2,1,0,41.6,38.8,2.4,81.0,3.7,1,1,3,1,1,0,1,7,5.8
0,0,7.5,0,69,67,1,1,2,30.4,30.8,1.2,75.0,3.5,0,1,0,0,0,0,0,3,5.1
1,9,7.5,1,56,64,0,2,0,42.5,35.5,3.1,79.4,4.3,0,0,2,3,1,1,2,9,4.9
1,3,7.4,0,63,72,0,1,0,29.5,11.6,2.3,73.0,4.1,0,0,0,0,0,0,2,6,4.6
1,4,8.5,0,65,84,2,1,2,63.0,54.8,4.5,83.0,4.3,1,1,0,0,0,0,0,5,9.5
1,2,8.3,0,66,84,2,3,2,69.2,48.4,6.0,89.0,4.4,1,1,4,1,1,1,2,8,8.6
0,2,7.5,0,58,69,0,1,0,27.4,21.0,3.1,82.0,4.1,1,1,0,0,0,0,0,7,4.2
1,0,8.4,2,55,60,2,1,0,58.5,49.8,3.5,77.0,4.6,0,1,0,0,0,0,1,6,7.7
1,9,7.7,0,79,77,1,2,3,51.5,50.9,6.0,90.0,4.8,1,0,0,0,0,0,1,8,6.0
1,0,7.2,1,72,68,2,1,3,24.9,17.9,3.1,84.0,3.9,0,1,0,0,0,0,0,2,3.6
0,3,8.3,1,55,71,2,2,2,60.8,45.9,4.2,76.0,4.6,0,1,3,1,1,1,2,8,6.5
1,10,8.4,1,73,70,2,3,2,68.7,50.2,6.3,88.2,4.8,0,1,3,1,1,1,1,3,9.0
1,4,7.8,0,64,88,0,3,2,51.0,50.9,6.8,90.0,4.8,1,1,0,0,0,1,2,5,6.0
0,7,7.8,1,55,69,0,2,0,45.5,31.7,3.4,77.5,4.2,0,1,1,0,0,1,0,4,6.7
1,3,8.6,0,79,82,2,3,2,72.9,51.9,8.6,90.0,4.8,1,1,2,2,1,1,0,6,7.7
1,8,7.4,0,55,61,0,2,2,27.4,26.6,2.4,60.4,4.6,0,1,0,0,0,1,1,2,2.6
1,5,8.3,0,83,80,2,3,2,71.1,63.3,7.1,90.0,4.7,1,0,4,1,1,1,0,8,9.2
0,0,8.2,0,60,61,1,1,1,44.9,40.6,3.6,74.0,3.7,0,1,3,2,1,0,2,4,6.2
0,6,8.3,0,65,63,1,2,2,69.3,60.2,2.6,79.2,4.0,0,0,0,0,0,0,2,1,8.5
0,8,8.2,0,82,85,1,3,3,59.8,51.7,7.9,89.8,4.4,1,1,0,1,0,1,2,8,7.9
1,5,7.6,0,56,66,1,1,0,31.2,28.3,0.8,73.0,4.2,0,0,0,0,0,0,2,8,5.6
0,7,8.3,0,85,84,1,3,3,72.4,54.6,7.5,90.0,4.8,1,0,2,2,1,1,1,1,7.5
1,0,7.8,0,82,64,1,2,0,46.1,38.9,5.3,71.0,3.7,1,1,2,2,1,0,0,4,5.9
1,2,8.2,0,75,83,1,2,1,58.1,49.2,3.3,77.0,3.7,1,1,3,2,1,1,1,6,7.0
1,9,6.5,1,58,72,2,0,1,23.3,15.8,0.7,73.3,4.2,0,1,0,0,0,0,2,8,2.2
1,8,7.3,1,55,64,0,1,1,29.6,4.0,1.3,77.2,3.7,0,0,0,0,0,0,1,6,3.0
1,4,7.5,0,86,74,2,2,0,48.6,37.1,5.3,73.0,4.4,1,1,3,2,1,1,0,4,4.9
1,3,6.5,0,60,68,1,1,1,20.0,26.4,1.2,76.0,3.8,0,1,0,0,0,0,1,7,2.0
1,6,7.5,1,59,72,1,1,1,47.5,47.3,3.6,90.0,3.4,0,1,0,0,0,0,0,6,6.4
1,0,8.4,0,73,88,2,3,2,68.6,49.4,8.4,90.0,4.7,1,1,2,3,1,1,1,4,6.9
1,11,7.6,0,66,68,0,2,2,42.8,47.9,2.5,78.9,4.2,1,1,0,0,0,0,0,4,6.5
1,0,7.6,0,57,69,1,3,1,47.2,32.4,7.0,77.0,4.6,1,1,1,3,1,1,1,3,5.1
1,0,7.4,0,82,69,1,2,1,35.5,42.8,4.2,72.0,3.5,0,1,1,3,1,0,1,1,5.1
1,8,6.7,0,56,67,0,1,0,21.0,28.1,1.8,73.7,4.1,0,1,0,0,0,1,2,2,3.3
