StudentID,Gender,Branch,CGPA,Backlogs,SSC_Marks,HSC_Marks,Internships,Projects,Workshops/Certifications,TechnicalSkillScore,CodingPlatformScore,GitHubScore,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,InterviewRoundsCleared,CompanyTier,PlacementStatus
52,Female,IT,8.2,0,66,65,1,3,0,60.9,57.9,6.0,65,4.1,Yes,No,0,None,NotPlaced
53,Female,Mechanical,8.1,0,82,82,2,3,2,56.1,44.3,7.2,90,4.7,Yes,Yes,4,Tier1,Placed
54,Female,ECE,6.5,0,72,67,1,2,1,20.0,9.9,5.1,80,4.5,Yes,Yes,0,None,NotPlaced
55,Male,ECE,6.5,1,57,69,0,2,1,20.0,19.0,4.3,72,4.5,No,No,0,None,NotPlaced
56,Female,IT,8.8,1,86,88,2,3,2,82.1,63.8,7.8,90,4.8,Yes,Yes,3,Tier1,Placed
57,Male,IT,8.0,0,55,65,1,1,0,34.6,33.2,2.9,74,4.5,Yes,Yes,0,None,NotPlaced
58,Male,EEE,8.4,0,77,82,2,2,2,59.1,55.3,5.5,81,4.6,Yes,Yes,3,Tier2,Placed
59,Male,ECE,8.0,0,55,83,1,1,0,41.2,21.3,0.2,86,4.2,No,No,0,None,NotPlaced
60,Male,IT,6.6,1,78,69,0,1,0,20.0,15.5,1.0,76,3.9,No,Yes,1,Tier3,Placed
61,Male,CSE,7.7,0,79,64,2,2,0,44.6,31.2,4.7,86,4.0,Yes,Yes,0,None,NotPlaced
62,Male,CSE,8.2,0,86,63,1,2,1,55.1,56.3,4.0,86,4.3,Yes,Yes,2,Tier2,Placed
63,Female,EEE,7.2,0,70,65,1,2,0,37.9,31.5,4.0,74,4.1,No,No,0,None,NotPlaced
64,Male,IT,6.6,1,55,75,1,2,1,30.4,23.7,3.7,72,4.1,No,No,0,None,NotPlaced
65,Male,CSE,7.6,1,84,67,1,2,0,46.9,44.1,4.5,77,4.6,Yes,No,0,None,NotPlaced
66,Male,ECE,8.0,0,64,83,0,3,0,59.5,43.0,7.9,68,4.2,Yes,No,2,Tier2,Placed
67,Male,ECE,7.8,0,90,83,2,3,2,64.3,52.7,7.1,87,4.8,Yes,No,0,None,NotPlaced
68,Female,Mechanical,7.2,0,57,64,1,1,0,21.0,36.6,1.9,82,4.6,Yes,Yes,0,None,NotPlaced
69,Male,ECE,7.7,0,57,68,1,1,0,38.8,48.1,1.4,74,4.1,No,Yes,2,Tier2,Placed
70,Female,Mechanical,8.4,0,76,69,1,1,2,55.2,41.4,3.8,67,3.8,Yes,Yes,0,None,NotPlaced
71,Female,Mechanical,7.5,0,71,76,1,1,1,28.2,24.5,2.2,69,4.3,No,Yes,0,None,NotPlaced
72,Male,Mechanical,6.7,0,78,67,0,2,1,20.0,16.2,5.2,79,4.1,No,No,0,None,NotPlaced
73,Male,ECE,8.1,0,80,86,2,3,2,62.0,36.1,7.8,90,4.8,Yes,Yes,1,Tier3,Placed
74,Female,IT,7.5,0,66,84,1,2,0,44.9,46.3,3.6,73,4.4,No,No,0,None,NotPlaced
75,Female,Civil,7.4,0,65,84,2,1,0,35.7,51.1,3.4,75,4.2,No,Yes,0,None,NotPlaced
76,Female,IT,6.5,0,57,68,1,1,0,20.0,16.1,3.5,63,4.5,No,Yes,0,None,NotPlaced
77,Female,CSE,8.1,0,73,86,1,3,1,54.6,39.8,5.2,90,4.6,Yes,Yes,2,Tier2,Placed
78,Male,ECE,6.9,0,61,71,1,1,0,20.7,19.8,2.0,83,3.5,No,Yes,0,None,NotPlaced
79,Male,CSE,8.2,0,71,84,1,3,0,60.2,50.3,6.5,83,4.8,Yes,Yes,2,Tier2,Placed
80,Male,Civil,7.6,0,58,66,1,2,1,44.2,28.3,3.7,72,3.9,No,Yes,0,None,NotPlaced
81,Female,EEE,6.6,1,55,72,1,1,1,20.0,16.5,1.2,69,3.6,No,Yes,0,None,NotPlaced
82,Male,EEE,6.7,0,72,64,1,2,1,25.9,32.9,4.1,74,4.8,Yes,Yes,2,Tier3,Placed
83,Male,ECE,8.2,0,73,82,2,3,2,65.8,53.9,7.9,76,4.5,Yes,Yes,0,None,NotPlaced
84,Male,ECE,8.3,0,82,83,2,3,1,63.8,62.9,5.8,90,4.2,Yes,Yes,3,Tier1,Placed
85,Male,CSE,7.6,0,57,72,0,2,0,31.4,32.6,5.1,86,4.8,Yes,Yes,3,Tier2,Placed
86,Male,EEE,6.7,0,81,69,1,3,0,27.1,18.1,5.7,87,4.6,Yes,No,0,None,NotPlaced
87,Female,EEE,8.1,0,71,68,0,2,1,47.0,35.9,5.3,84,3.8,No,No,0,None,NotPlaced
88,Male,IT,8.5,0,76,66,1,2,2,61.6,52.2,5.0,79,3.9,Yes,Yes,2,Tier2,Placed
89,Female,ECE,8.8,0,75,84,1,3,0,76.3,51.3,7.7,76,4.7,Yes,Yes,4,Tier1,Placed
90,Male,IT,7.2,0,57,66,1,2,0,36.5,21.7,5.2,68,4.2,Yes,Yes,0,None,NotPlaced
91,Male,CSE,7.6,0,66,67,1,1,0,31.2,19.5,2.7,80,4.5,Yes,Yes,0,None,NotPlaced
92,Female,CSE,7.1,0,55,66,1,1,0,30.3,31.6,2.1,70,3.3,No,No,0,None,NotPlaced
93,Female,IT,8.1,0,86,80,1,3,2,58.8,46.2,8.5,89,4.6,Yes,Yes,2,Tier3,Placed
94,Male,Mechanical,7.4,0,65,82,1,3,0,49.3,51.4,5.1,83,4.2,No,Yes,0,None,NotPlaced
95,Female,EEE,7.7,0,74,83,2,2,2,49.2,34.9,2.5,85,4.8,Yes,Yes,0,None,NotPlaced
96,Male,IT,7.5,0,61,73,0,1,1,29.9,8.0,1.2,75,3.3,No,Yes,0,None,NotPlaced
97,Male,ECE,7.5,0,73,66,1,1,0,31.9,27.0,0.8,64,4.0,No,No,0,None,NotPlaced
98,Male,EEE,7.8,0,81,82,2,2,2,54.0,59.1,6.0,90,4.8,Yes,No,3,Tier2,Placed
99,Male,CSE,7.7,1,61,84,1,3,1,53.0,45.4,5.8,89,4.6,No,Yes,2,Tier2,Placed
100,Male,CSE,7.9,0,58,81,0,1,2,40.1,24.6,3.8,83,4.8,Yes,No,0,None,NotPlaced
101,Male,Civil,7.4,1,55,67,1,2,1,34.9,17.1,4.0,63,3.9,No,No,0,None,NotPlaced
102,Male,EEE,7.3,0,64,65,1,1,0,20.2,30.9,2.0,80,4.7,No,Yes,0,None,NotPlaced
103,Male,Civil,6.5,0,58,65,1,1,1,20.0,13.1,2.2,62,3.8,No,Yes,0,None,NotPlaced
104,Male,IT,7.5,0,57,80,2,1,1,43.3,49.5,4.5,76,4.2,Yes,Yes,0,None,NotPlaced
105,Female,EEE,6.5,1,61,66,1,1,0,20.0,25.4,2.2,68,4.1,No,No,0,None,NotPlaced
106,Male,CSE,8.5,0,72,87,2,3,2,74.5,54.1,8.1,90,4.8,Yes,Yes,4,Tier1,Placed
107,Male,IT,6.7,2,55,70,0,1,1,20.0,30.0,3.0,74,3.9,No,No,0,None,NotPlaced
108,Female,ECE,6.5,1,65,69,0,1,0,20.0,14.0,1.8,82,4.4,No,No,0,None,NotPlaced
109,Male,IT,8.1,0,79,84,1,3,2,55.9,35.7,6.9,90,4.8,Yes,Yes,2,Tier2,Placed
110,Male,CSE,8.7,0,79,85,2,3,2,73.6,52.7,6.6,90,4.8,Yes,Yes,2,Tier3,Placed
111,Male,CSE,8.0,0,57,61,1,1,3,41.0,42.4,3.3,84,4.0,No,Yes,0,None,NotPlaced
112,Male,CSE,7.3,1,69,65,1,3,1,47.2,49.4,6.1,81,4.2,Yes,Yes,0,None,NotPlaced
113,Female,EEE,7.4,0,55,62,1,1,1,33.8,27.8,2.3,81,4.1,Yes,No,0,None,NotPlaced
114,Female,IT,8.6,0,71,83,2,3,0,78.9,47.6,6.7,81,4.7,Yes,No,3,Tier2,Placed
115,Male,CSE,6.7,0,55,78,2,1,2,20.0,8.4,1.9,76,4.8,Yes,No,0,None,NotPlaced
116,Female,CSE,7.6,0,55,67,1,1,1,35.0,22.0,1.4,67,3.5,No,No,0,None,NotPlaced
117,Female,CSE,8.8,0,83,83,1,3,2,74.0,49.5,8.1,90,4.6,Yes,Yes,4,Tier1,Placed
118,Male,EEE,6.5,0,61,68,1,2,0,20.0,22.0,4.7,65,4.4,No,Yes,0,None,NotPlaced
119,Female,CSE,6.5,0,62,62,1,2,1,21.1,37.3,3.6,78,4.2,No,No,0,None,NotPlaced
120,Male,Mechanical,7.4,0,55,74,1,2,1,37.7,39.5,4.8,75,4.2,No,Yes,0,None,NotPlaced
121,Female,CSE,8.7,0,85,79,2,3,2,80.6,54.7,9.1,81,4.7,Yes,Yes,2,Tier2,Placed
122,Female,CSE,8.0,1,59,66,1,1,1,43.4,30.9,2.3,68,4.2,No,Yes,0,None,NotPlaced
123,Male,Mechanical,7.7,2,80,85,1,3,2,50.3,39.3,8.4,90,4.8,Yes,No,2,Tier2,Placed
124,Male,EEE,7.3,0,58,67,1,1,0,33.6,32.4,2.9,64,3.2,No,Yes,0,None,NotPlaced
125,Male,CSE,8.4,0,56,63,2,1,2,44.9,50.8,1.7,76,4.1,No,No,0,None,NotPlaced
126,Male,EEE,7.7,0,65,75,1,2,0,44.7,34.1,4.2,73,4.0,No,Yes,2,Tier2,Placed
127,Female,ECE,7.5,0,58,64,1,1,1,24.2,35.4,2.5,68,4.7,No,No,0,None,NotPlaced
128,Female,Mechanical,7.4,0,63,73,0,1,0,21.4,38.9,1.3,79,4.3,No,No,0,None,NotPlaced
129,Male,EEE,7.4,0,73,73,1,1,1,33.6,26.5,0.0,64,4.3,No,Yes,0,None,NotPlaced
130,Male,ECE,8.5,0,80,86,1,2,2,54.6,43.3,4.2,90,4.8,Yes,Yes,2,Tier3,Placed
131,Male,Civil,8.0,0,85,84,1,3,0,51.9,40.6,4.8,80,4.4,Yes,Yes,1,Tier3,Placed
132,Male,IT,6.5,0,64,67,1,1,1,24.9,24.4,1.2,72,3.8,No,No,0,None,NotPlaced
133,Male,ECE,8.4,0,78,82,1,1,0,44.2,35.4,1.3,81,4.6,Yes,No,3,Tier1,Placed
134,Male,IT,8.7,0,87,84,0,3,2,76.3,68.4,6.9,88,4.8,No,No,0,None,NotPlaced
135,Female,CSE,8.0,0,57,70,0,1,0,37.1,19.0,0.8,60,4.0,No,No,0,None,NotPlaced
136,Male,CSE,8.4,0,74,82,2,3,1,69.4,52.2,7.5,88,4.6,Yes,Yes,0,None,NotPlaced
137,Male,CSE,8.2,0,90,81,2,3,2,70.8,60.3,7.8,90,4.4,Yes,Yes,1,Tier3,Placed
138,Female,ECE,8.1,0,73,82,2,2,2,64.7,60.4,5.7,90,4.5,Yes,Yes,1,Tier3,Placed
139,Male,ECE,7.9,0,62,65,1,3,1,51.3,60.2,4.1,75,3.7,No,Yes,0,None,NotPlaced
140,Female,IT,8.9,0,69,85,2,3,2,79.4,53.4,8.1,90,4.8,Yes,Yes,3,Tier1,Placed
141,Female,CSE,6.5,1,66,70,1,1,1,20.0,15.3,2.4,72,4.5,No,No,0,None,NotPlaced
142,Male,IT,7.6,0,55,76,1,1,0,36.4,13.9,2.8,73,4.3,No,Yes,3,Tier2,Placed
143,Male,Mechanical,8.4,0,67,80,1,3,2,72.5,50.0,8.8,90,4.6,Yes,Yes,3,Tier1,Placed
144,Male,IT,7.8,0,79,87,2,3,0,62.6,36.6,7.8,77,4.8,Yes,Yes,0,None,NotPlaced
145,Male,ECE,8.4,0,59,80,1,2,1,68.0,50.1,3.8,74,4.3,Yes,Yes,4,Tier1,Placed
146,Male,EEE,7.6,0,58,74,1,2,0,43.9,35.6,4.7,74,3.7,No,Yes,1,Tier3,Placed
147,Male,EEE,7.9,1,87,82,1,1,1,42.1,38.8,1.5,62,4.6,Yes,Yes,0,None,NotPlaced
148,Male,ECE,7.9,0,56,82,1,3,1,58.6,45.8,6.9,80,4.2,Yes,Yes,3,Tier2,Placed
149,Male,Mechanical,8.0,0,74,81,2,1,2,47.3,45.0,2.5,90,4.8,Yes,Yes,0,None,NotPlaced
150,Male,IT,7.9,1,63,70,2,1,0,50.2,43.5,3.0,83,4.0,Yes,Yes,0,None,NotPlaced
151,Female,Mechanical,8.4,0,90,85,2,3,2,73.2,51.1,5.5,90,4.8,Yes,Yes,3,Tier2,Placed
152,Male,CSE,8.6,0,73,78,0,3,2,69.9,43.5,5.6,90,4.8,Yes,Yes,4,Tier1,Placed
153,Male,IT,7.8,0,79,65,0,1,0,38.7,39.0,2.6,81,3.9,Yes,Yes,4,Tier1,Placed
154,Male,CSE,8.1,0,80,83,2,3,3,68.1,68.9,6.8,90,4.8,Yes,Yes,3,Tier2,Placed
155,Female,Mechanical,7.2,0,64,84,1,3,1,45.5,58.9,6.6,75,4.2,Yes,Yes,0,None,NotPlaced
156,Male,IT,7.7,0,69,63,0,1,0,26.9,33.6,4.5,81,4.8,Yes,Yes,2,Tier2,Placed
157,Female,CSE,8.4,0,79,86,1,3,2,64.2,64.7,7.4,90,4.5,Yes,Yes,3,Tier2,Placed
158,Female,CSE,8.0,0,72,83,1,3,1,63.2,55.8,7.4,87,4.6,Yes,Yes,0,None,NotPlaced
159,Male,Mechanical,7.8,0,61,69,0,1,1,41.1,37.7,1.6,72,4.0,No,No,0,None,NotPlaced
160,Female,Mechanical,6.5,0,56,64,1,1,0,20.0,20.6,0.6,63,3.5,No,No,0,None,NotPlaced
161,Male,EEE,6.5,1,57,74,0,3,0,21.2,20.4,6.0,71,3.6,No,Yes,0,None,NotPlaced
162,Male,ECE,7.9,1,60,71,1,2,1,49.1,46.5,6.8,81,4.0,Yes,Yes,0,None,NotPlaced
163,Male,ECE,6.7,1,56,64,1,1,0,20.0,16.6,2.2,75,4.2,No,No,0,None,NotPlaced
164,Male,ECE,6.9,1,55,69,0,1,0,20.0,19.4,3.1,73,4.1,No,Yes,3,Tier1,Placed
165,Male,Civil,6.5,0,62,72,1,1,2,20.0,12.2,4.2,85,4.3,Yes,No,1,Tier3,Placed
166,Female,CSE,6.5,0,55,66,0,1,1,20.0,24.9,2.6,79,3.9,No,No,0,None,NotPlaced
167,Male,ECE,7.3,0,65,64,1,1,1,20.0,12.7,2.2,71,3.6,No,No,0,None,NotPlaced
168,Male,IT,8.3,0,77,82,2,3,0,69.1,55.0,6.0,71,4.6,Yes,Yes,1,Tier3,Placed
169,Male,ECE,7.5,0,63,65,1,1,1,35.3,35.4,1.8,74,3.9,No,No,0,None,NotPlaced
170,Male,IT,8.0,0,78,61,2,3,3,67.9,59.1,6.6,76,4.1,Yes,Yes,0,None,NotPlaced
171,Female,ECE,8.3,1,76,71,1,2,1,58.6,53.4,4.3,69,3.8,No,Yes,0,None,NotPlaced
172,Male,CSE,6.6,0,80,82,0,3,0,34.8,30.5,4.6,87,4.5,No,No,0,None,NotPlaced
173,Male,ECE,7.4,0,65,70,0,3,0,42.1,41.5,5.5,90,4.6,No,No,0,None,NotPlaced
174,Male,CSE,8.0,0,66,68,1,1,1,49.6,37.8,2.4,78,4.4,No,No,0,None,NotPlaced
175,Male,CSE,8.0,0,78,86,2,3,2,60.8,34.9,6.3,90,4.8,Yes,Yes,2,Tier2,Placed
176,Male,CSE,6.7,0,55,65,1,2,0,25.3,28.5,3.1,73,4.5,No,Yes,0,None,NotPlaced
177,Female,EEE,8.3,0,67,65,1,2,3,50.9,45.0,4.2,78,3.8,Yes,No,0,None,NotPlaced
178,Male,IT,8.5,0,61,86,1,3,2,73.5,67.7,6.7,90,4.8,Yes,Yes,4,Tier1,Placed
179,Female,ECE,7.5,0,55,65,2,1,2,37.4,34.1,0.6,90,4.8,Yes,No,0,None,NotPlaced
180,Male,EEE,7.4,0,58,62,1,1,0,32.8,15.5,1.3,60,3.4,No,No,0,None,NotPlaced
181,Male,ECE,8.4,0,74,82,0,1,2,44.4,38.3,4.0,88,4.8,Yes,Yes,3,Tier2,Placed
182,Male,IT,8.2,0,70,73,1,3,0,65.9,60.6,7.3,82,4.8,Yes,Yes,2,Tier2,Placed
183,Female,ECE,6.5,2,74,61,1,1,0,20.0,24.5,2.4,74,4.2,No,Yes,0,None,NotPlaced
184,Female,IT,7.7,2,57,69,1,1,0,32.0,27.6,0.2,71,4.7,No,Yes,0,None,NotPlaced
185,Male,EEE,7.3,0,63,66,1,2,2,32.3,15.3,3.6,67,4.5,No,No,0,None,NotPlaced
186,Female,ECE,6.5,0,75,69,0,1,0,20.0,12.8,2.9,78,3.7,Yes,Yes,0,None,NotPlaced
187,Female,Mechanical,6.5,0,55,65,1,1,1,20.0,23.9,2.5,68,4.1,No,No,0,None,NotPlaced
188,Male,Mechanical,7.5,0,73,79,1,1,0,42.3,23.1,3.1,76,4.3,No,Yes,0,None,NotPlaced
189,Male,CSE,7.8,0,55,70,1,1,1,40.5,31.7,3.0,65,3.9,No,No,0,None,NotPlaced
190,Male,CSE,6.8,0,61,62,1,1,0,24.0,24.1,1.4,78,4.3,No,No,0,None,NotPlaced
191,Male,ECE,8.4,0,76,82,2,3,2,63.9,62.0,6.4,90,4.1,Yes,Yes,3,Tier2,Placed
192,Female,IT,7.8,0,59,74,2,2,2,62.1,55.6,5.4,80,4.6,No,Yes,2,Tier3,Placed
193,Female,CSE,7.5,0,58,63,1,2,0,44.0,45.4,4.6,77,4.2,Yes,Yes,0,None,NotPlaced
194,Male,Mechanical,8.9,0,75,82,0,1,2,55.8,48.7,1.9,80,4.8,Yes,Yes,2,Tier2,Placed
195,Male,IT,6.5,0,58,62,0,1,0,20.0,14.0,1.8,75,3.7,No,No,0,None,NotPlaced
196,Male,Mechanical,8.4,0,78,70,1,1,2,45.5,34.8,3.3,87,4.1,No,No,0,None,NotPlaced
197,Female,EEE,8.1,0,69,67,0,1,0,35.9,24.1,2.1,71,3.6,Yes,No,0,None,NotPlaced
198,Female,ECE,8.5,0,60,85,2,3,0,83.6,71.0,6.6,86,4.2,Yes,Yes,3,Tier1,Placed
199,Female,CSE,7.6,0,79,86,1,1,1,30.1,22.9,2.1,82,4.8,Yes,Yes,3,Tier2,Placed
200,Female,CSE,7.8,2,87,87,2,3,0,55.0,42.5,8.0,79,4.3,Yes,No,0,None,NotPlaced
201,Male,IT,8.6,0,68,84,1,3,2,67.5,55.5,7.3,90,4.7,Yes,Yes,3,Tier1,Placed
202,Male,CSE,7.9,0,79,82,2,3,2,56.0,59.2,7.9,76,4.6,Yes,Yes,2,Tier3,Placed
203,Male,IT,6.5,0,65,59,0,2,2,20.0,26.0,6.6,75,4.5,Yes,No,0,None,NotPlaced
204,Female,IT,8.2,0,78,87,0,2,1,55.4,40.0,3.5,82,4.5,Yes,Yes,2,Tier2,Placed
205,Male,CSE,8.2,0,60,70,1,1,0,43.9,39.2,2.2,81,4.3,Yes,Yes,2,Tier2,Placed
206,Male,CSE,7.6,0,69,67,1,1,0,28.1,38.6,1.6,64,4.1,No,No,0,None,NotPlaced
207,Male,Mechanical,7.3,0,55,72,1,2,1,38.5,39.4,4.1,84,4.6,No,Yes,0,None,NotPlaced
208,Female,CSE,8.4,0,85,79,2,3,2,71.7,45.5,7.5,90,4.5,Yes,Yes,4,Tier1,Placed
209,Male,CSE,8.3,0,70,88,2,3,3,75.0,53.3,6.5,90,4.5,Yes,Yes,2,Tier3,Placed
210,Male,ECE,7.8,0,70,78,1,3,0,52.7,36.9,6.3,88,4.8,Yes,Yes,2,Tier2,Placed
211,Male,Civil,8.3,0,77,84,1,2,1,55.7,57.9,6.0,82,4.7,Yes,Yes,0,None,NotPlaced
212,Female,IT,7.5,0,55,75,1,1,1,32.3,38.9,2.5,69,4.1,No,No,0,None,NotPlaced
213,Female,CSE,8.6,0,82,81,2,3,2,76.4,55.5,7.3,78,4.8,Yes,Yes,0,None,NotPlaced
214,Male,ECE,7.8,0,57,69,2,2,2,50.0,36.8,2.9,77,4.2,Yes,No,0,None,NotPlaced
215,Female,Mechanical,6.6,1,70,66,1,1,1,20.0,20.7,3.2,71,4.3,No,No,0,None,NotPlaced
216,Male,Mechanical,7.4,0,61,70,0,1,1,20.0,20.9,2.2,70,4.2,No,No,0,None,NotPlaced
217,Male,EEE,6.9,1,55,69,1,2,1,26.2,17.3,3.8,74,4.1,No,No,0,None,NotPlaced
218,Female,IT,6.6,0,62,70,1,1,0,20.0,18.9,1.2,77,4.5,No,No,0,None,NotPlaced
219,Male,ECE,8.3,0,80,79,1,2,2,61.3,39.2,4.4,88,4.1,Yes,Yes,2,Tier3,Placed
220,Female,CSE,7.9,2,81,85,2,2,2,51.6,54.2,4.1,88,4.8,Yes,Yes,4,Tier1,Placed
221,Female,EEE,6.6,0,82,69,1,2,1,29.5,13.4,3.0,76,4.1,Yes,Yes,0,None,NotPlaced
222,Male,EEE,8.0,0,62,83,2,3,2,63.9,38.3,6.2,86,4.8,Yes,Yes,3,Tier2,Placed
223,Male,Civil,7.5,0,55,68,1,2,0,34.3,35.2,2.4,86,3.8,No,No,0,None,NotPlaced
224,Male,CSE,7.9,1,81,78,2,3,2,53.7,35.8,6.9,90,4.8,Yes,No,0,None,NotPlaced
225,Male,CSE,8.3,0,60,61,1,3,2,71.1,52.8,5.8,78,3.9,Yes,Yes,2,Tier2,Placed
226,Male,ECE,7.4,0,67,62,1,1,0,29.1,27.5,2.7,74,3.5,No,Yes,0,None,NotPlaced
